2023-06-29 16:58:49.461 IST [8056] LOG:  database system was shut down at 2023-06-29 16:58:47 IST
2023-06-29 17:00:50.763 IST [15920] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-06-29 17:01:17.873 IST [9856] LOG:  invalid length of startup packet
2023-06-29 17:01:44.763 IST [7992] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-06-29 17:03:49.471 IST [6544] LOG:  checkpoint starting: time
2023-06-29 17:03:49.482 IST [6544] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.003 s, total=0.012 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB
2023-06-29 17:08:49.484 IST [6544] LOG:  checkpoint starting: time
2023-06-29 17:08:50.248 IST [6544] LOG:  checkpoint complete: wrote 8 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.756 s, sync=0.004 s, total=0.764 s; sync files=8, longest=0.001 s, average=0.001 s; distance=15 kB, estimate=15 kB
2023-06-29 17:16:40.833 IST [23116] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-06-29 17:18:49.267 IST [6544] LOG:  checkpoint starting: time
2023-06-29 17:18:49.815 IST [6544] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.541 s, sync=0.003 s, total=0.549 s; sync files=6, longest=0.001 s, average=0.001 s; distance=11 kB, estimate=14 kB
2023-06-29 17:22:40.610 IST [23848] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
